Year,Department or agency,Province or territory of work,Number of employees
2024,Canadian Human Rights Commission,National Capital Region (NCR),285
2024,Canadian Human Rights Commission,Ontario (minus the NCR),2
2024,Canadian Human Rights Commission,Quebec (minus the NCR),9
2024,Canadian Institutes of Health Research,National Capital Region (NCR),618
2024,Canadian Intergovernmental Conference Secretariat,National Capital Region (NCR),37
2024,Canadian Intergovernmental Conference Secretariat,Unknown,2
2024,Canadian Northern Economic Development Agency,National Capital Region (NCR),31
2024,Canadian Northern Economic Development Agency,Northwest Territories,20
2024,Canadian Northern Economic Development Agency,Nunavut,43
2024,Canadian Northern Economic Development Agency,Unknown,1
2024,Canadian Northern Economic Development Agency,Yukon,20
2024,Canadian Nuclear Safety Commission,Alberta,10
2024,Canadian Nuclear Safety Commission,National Capital Region (NCR),889
2024,Canadian Nuclear Safety Commission,New Brunswick,7
2024,Canadian Nuclear Safety Commission,Ontario (minus the NCR),46
2024,Canadian Nuclear Safety Commission,Quebec (minus the NCR),8
2024,Canadian Nuclear Safety Commission,Saskatchewan,9
2024,Canadian Radio-television and Telecommunications Commission,Alberta,1
2024,Canadian Radio-television and Telecommunications Commission,British Columbia,1
2024,Canadian Radio-television and Telecommunications Commission,National Capital Region (NCR),626
2024,Canadian Radio-television and Telecommunications Commission,Nova Scotia,3
2024,Canadian Radio-television and Telecommunications Commission,Ontario (minus the NCR),1
2024,Canadian Radio-television and Telecommunications Commission,Saskatchewan,2
2024,Canadian Radio-television and Telecommunications Commission,Unknown,4
2024,Canadian Radio-television and Telecommunications Commission,Yukon,1
2024,Canadian Space Agency,National Capital Region (NCR),100
2024,Canadian Space Agency,Quebec (minus the NCR),844
2024,Canadian Space Agency,Unknown,4
2024,Canadian Transportation Agency,Alberta,2
2024,Canadian Transportation Agency,British Columbia,3
2024,Canadian Transportation Agency,National Capital Region (NCR),369
2024,Canadian Transportation Agency,New Brunswick,1
2024,Canadian Transportation Agency,Ontario (minus the NCR),1
2024,Canadian Transportation Agency,Unknown,1
2024,Civilian Review and Complaints Commission for the RCMP,National Capital Region (NCR),89
2024,Civilian Review and Complaints Commission for the RCMP,Quebec (minus the NCR),1
2024,Civilian Review and Complaints Commission for the RCMP,Unknown,17
2024,Communications Security Establishment,Unknown,3490
2024,Copyright Board Canada,National Capital Region (NCR),19
2024,Correctional Service Canada,Alberta,2241
2024,Correctional Service Canada,British Columbia,2842
2024,Correctional Service Canada,Manitoba,723
2024,Correctional Service Canada,National Capital Region (NCR),1716
2024,Correctional Service Canada,New Brunswick,1304
2024,Correctional Service Canada,Newfoundland and Labrador,39
2024,Correctional Service Canada,Northwest Territories,2
2024,Correctional Service Canada,Nova Scotia,661
2024,Correctional Service Canada,Nunavut,1
2024,Correctional Service Canada,Ontario (minus the NCR),3814
2024,Correctional Service Canada,Prince Edward Island,24
2024,Correctional Service Canada,Quebec (minus the NCR),3918
2024,Correctional Service Canada,Saskatchewan,1632
2024,Correctional Service Canada,Unknown,72
2024,Correctional Service Canada,Yukon,1
2024,Courts Administration Service,Alberta,14
2024,Courts Administration Service,British Columbia,32
2024,Courts Administration Service,Manitoba,7
2024,Courts Administration Service,National Capital Region (NCR),663
2024,Courts Administration Service,New Brunswick,1
2024,Courts Administration Service,Newfoundland and Labrador,2
2024,Courts Administration Service,Nova Scotia,5
2024,Courts Administration Service,Ontario (minus the NCR),95
2024,Courts Administration Service,Quebec (minus the NCR),39
2024,Courts Administration Service,Unknown,3
2024,Crown-Indigenous Relations and Northern Affairs Canada,Alberta,31
2024,Crown-Indigenous Relations and Northern Affairs Canada,British Columbia,191
2024,Crown-Indigenous Relations and Northern Affairs Canada,Manitoba,24
2024,Crown-Indigenous Relations and Northern Affairs Canada,National Capital Region (NCR),1442
2024,Crown-Indigenous Relations and Northern Affairs Canada,New Brunswick,7
2024,Crown-Indigenous Relations and Northern Affairs Canada,Newfoundland and Labrador,1
2024,Crown-Indigenous Relations and Northern Affairs Canada,Northwest Territories,102
2024,Crown-Indigenous Relations and Northern Affairs Canada,Nova Scotia,7
2024,Crown-Indigenous Relations and Northern Affairs Canada,Nunavut,85
2024,Crown-Indigenous Relations and Northern Affairs Canada,Ontario (minus the NCR),34
2024,Crown-Indigenous Relations and Northern Affairs Canada,Quebec (minus the NCR),48
2024,Crown-Indigenous Relations and Northern Affairs Canada,Saskatchewan,5
2024,Crown-Indigenous Relations and Northern Affairs Canada,Unknown,13
2024,Crown-Indigenous Relations and Northern Affairs Canada,Yukon,98
2024,Department of Finance Canada,National Capital Region (NCR),930
2024,Department of Finance Canada,Unknown,12
2024,Department of Justice Canada,Alberta,260
2024,Department of Justice Canada,British Columbia,569
2024,Department of Justice Canada,Manitoba,123
2024,Department of Justice Canada,National Capital Region (NCR),3225
2024,Department of Justice Canada,New Brunswick,13
2024,Department of Justice Canada,Newfoundland and Labrador,2
2024,Department of Justice Canada,Northwest Territories,17
2024,Department of Justice Canada,Nova Scotia,142
2024,Department of Justice Canada,Nunavut,1
2024,Department of Justice Canada,Ontario (minus the NCR),707
2024,Department of Justice Canada,Prince Edward Island,9
2024,Department of Justice Canada,Quebec (minus the NCR),450
2024,Department of Justice Canada,Saskatchewan,94
2024,Department of Justice Canada,Unknown,10
2024,Department of Justice Canada,Yukon,15
2024,Elections Canada,National Capital Region (NCR),1248
2024,Elections Canada,Unknown,2
2024,Employment and Social Development Canada,Alberta,2838
2024,Employment and Social Development Canada,British Columbia,3048
2024,Employment and Social Development Canada,Manitoba,1333
2024,Employment and Social Development Canada,National Capital Region (NCR),9467
2024,Employment and Social Development Canada,New Brunswick,2562
2024,Employment and Social Development Canada,Newfoundland and Labrador,1383
2024,Employment and Social Development Canada,Northwest Territories,18
2024,Employment and Social Development Canada,Nova Scotia,1050
2024,Employment and Social Development Canada,Nunavut,11
2024,Employment and Social Development Canada,Ontario (minus the NCR),9035
2024,Employment and Social Development Canada,Prince Edward Island,233
2024,Employment and Social Development Canada,Quebec (minus the NCR),6405
2024,Employment and Social Development Canada,Saskatchewan,794
2024,Employment and Social Development Canada,Unknown,899
2024,Employment and Social Development Canada,Yukon,13
2024,Environment and Climate Change Canada,Alberta,472
2024,Environment and Climate Change Canada,British Columbia,769
2024,Environment and Climate Change Canada,Manitoba,182
2024,Environment and Climate Change Canada,National Capital Region (NCR),3822
2024,Environment and Climate Change Canada,New Brunswick,194
2024,Environment and Climate Change Canada,Newfoundland and Labrador,86
2024,Environment and Climate Change Canada,Northwest Territories,69
2024,Environment and Climate Change Canada,Nova Scotia,309
2024,Environment and Climate Change Canada,Nunavut,21
2024,Environment and Climate Change Canada,Ontario (minus the NCR),1550
2024,Environment and Climate Change Canada,Prince Edward Island,1
2024,Environment and Climate Change Canada,Quebec (minus the NCR),1190
2024,Environment and Climate Change Canada,Saskatchewan,183
2024,Environment and Climate Change Canada,Unknown,11
2024,Environment and Climate Change Canada,Yukon,42
2024,Federal Economic Development Agency for Northern Ontario,National Capital Region (NCR),3
2024,Federal Economic Development Agency for Northern Ontario,Ontario (minus the NCR),85
2024,Federal Economic Development Agency for Northern Ontario,Unknown,1
2024,Federal Economic Development Agency for Southern Ontario,National Capital Region (NCR),62
2024,Federal Economic Development Agency for Southern Ontario,Ontario (minus the NCR),256
2024,Federal Economic Development Agency for Southern Ontario,Quebec (minus the NCR),1
2024,Federal Economic Development Agency for Southern Ontario,Unknown,2
2024,Federal Judges not part of any department,National Capital Region (NCR),1
2024,Federal Judges not part of any department,Unknown,1184
2024,Financial Consumer Agency of Canada,National Capital Region (NCR),219
2024,Financial Consumer Agency of Canada,Ontario (minus the NCR),10
2024,Financial Consumer Agency of Canada,Unknown,2
2024,Financial Transactions and Reports Analysis Centre of Canada,British Columbia,11
2024,Financial Transactions and Reports Analysis Centre of Canada,National Capital Region (NCR),173
2024,Financial Transactions and Reports Analysis Centre of Canada,Ontario (minus the NCR),9
2024,Financial Transactions and Reports Analysis Centre of Canada,Quebec (minus the NCR),3
2024,Financial Transactions and Reports Analysis Centre of Canada,Unknown,360
2024,Fisheries and Oceans Canada,Alberta,42
2024,Fisheries and Oceans Canada,British Columbia,3625
2024,Fisheries and Oceans Canada,Manitoba,344
2024,Fisheries and Oceans Canada,National Capital Region (NCR),2663
2024,Fisheries and Oceans Canada,New Brunswick,896
2024,Fisheries and Oceans Canada,Newfoundland and Labrador,1927
2024,Fisheries and Oceans Canada,Northwest Territories,92
2024,Fisheries and Oceans Canada,Nova Scotia,2046
2024,Fisheries and Oceans Canada,Nunavut,47
2024,Fisheries and Oceans Canada,Ontario (minus the NCR),1014
2024,Fisheries and Oceans Canada,Prince Edward Island,142
2024,Fisheries and Oceans Canada,Quebec (minus the NCR),1786
2024,Fisheries and Oceans Canada,Saskatchewan,13
2024,Fisheries and Oceans Canada,Unknown,30
2024,Fisheries and Oceans Canada,Yukon,49
2024,Global Affairs Canada,Alberta,20
2024,Global Affairs Canada,British Columbia,27
2024,Global Affairs Canada,Manitoba,8
2024,Global Affairs Canada,National Capital Region (NCR),6099
2024,Global Affairs Canada,New Brunswick,2
2024,Global Affairs Canada,Newfoundland and Labrador,2
2024,Global Affairs Canada,Nova Scotia,8
2024,Global Affairs Canada,Ontario (minus the NCR),38
2024,Global Affairs Canada,Outside of Canada,1188
2024,Global Affairs Canada,Prince Edward Island,1
2024,Global Affairs Canada,Quebec (minus the NCR),31
2024,Global Affairs Canada,Saskatchewan,2
2024,Global Affairs Canada,Unknown,13
2024,Health Canada,Alberta,140
2024,Health Canada,British Columbia,304
2024,Health Canada,Manitoba,169
2024,Health Canada,National Capital Region (NCR),8101
2024,Health Canada,New Brunswick,34
2024,Health Canada,Newfoundland and Labrador,21
2024,Health Canada,Nova Scotia,132
2024,Health Canada,Ontario (minus the NCR),614
2024,Health Canada,Prince Edward Island,8
2024,Health Canada,Quebec (minus the NCR),506
2024,Health Canada,Saskatchewan,18
2024,Health Canada,Unknown,140
2024,Immigration and Refugee Board of Canada,Alberta,63
2024,Immigration and Refugee Board of Canada,British Columbia,326
2024,Immigration and Refugee Board of Canada,National Capital Region (NCR),560
2024,Immigration and Refugee Board of Canada,Ontario (minus the NCR),881
2024,Immigration and Refugee Board of Canada,Quebec (minus the NCR),703
2024,Immigration and Refugee Board of Canada,Unknown,46
2024,"Immigration, Refugees and Citizenship Canada",Alberta,736
2024,"Immigration, Refugees and Citizenship Canada",British Columbia,468
2024,"Immigration, Refugees and Citizenship Canada",Manitoba,217
2024,"Immigration, Refugees and Citizenship Canada",National Capital Region (NCR),7231
2024,"Immigration, Refugees and Citizenship Canada",New Brunswick,53
2024,"Immigration, Refugees and Citizenship Canada",Newfoundland and Labrador,13
2024,"Immigration, Refugees and Citizenship Canada",Northwest Territories,1
2024,"Immigration, Refugees and Citizenship Canada",Nova Scotia,1164
2024,"Immigration, Refugees and Citizenship Canada",Ontario (minus the NCR),1529
2024,"Immigration, Refugees and Citizenship Canada",Outside of Canada,309
2024,"Immigration, Refugees and Citizenship Canada",Prince Edward Island,10
2024,"Immigration, Refugees and Citizenship Canada",Quebec (minus the NCR),1201
2024,"Immigration, Refugees and Citizenship Canada",Saskatchewan,81
2024,"Immigration, Refugees and Citizenship Canada",Unknown,79
2024,Impact Assessment Agency of Canada,Alberta,31
2024,Impact Assessment Agency of Canada,British Columbia,37
2024,Impact Assessment Agency of Canada,National Capital Region (NCR),370
2024,Impact Assessment Agency of Canada,Newfoundland and Labrador,10
2024,Impact Assessment Agency of Canada,Nova Scotia,21
2024,Impact Assessment Agency of Canada,Ontario (minus the NCR),32
2024,Impact Assessment Agency of Canada,Quebec (minus the NCR),33
2024,Impact Assessment Agency of Canada,Unknown,1
2024,Indian Oil and Gas Canada,Alberta,77
2024,Indian Oil and Gas Canada,Unknown,2
2024,Indigenous Services Canada,Alberta,761
2024,Indigenous Services Canada,British Columbia,396
2024,Indigenous Services Canada,Manitoba,1132
2024,Indigenous Services Canada,National Capital Region (NCR),3857
2024,Indigenous Services Canada,New Brunswick,30
2024,Indigenous Services Canada,Newfoundland and Labrador,4
2024,Indigenous Services Canada,Northwest Territories,7
2024,Indigenous Services Canada,Nova Scotia,380
2024,Indigenous Services Canada,Ontario (minus the NCR),961
2024,Indigenous Services Canada,Quebec (minus the NCR),456
2024,Indigenous Services Canada,Saskatchewan,600
2024,Indigenous Services Canada,Unknown,34
2024,Indigenous Services Canada,Yukon,19
2024,Infrastructure Canada,Alberta,9
2024,Infrastructure Canada,British Columbia,20
2024,Infrastructure Canada,Manitoba,3
2024,Infrastructure Canada,National Capital Region (NCR),1300
2024,Infrastructure Canada,New Brunswick,4
2024,Infrastructure Canada,Newfoundland and Labrador,3
